,time,ax,ay,az,gx,gy,gz
141,13029.746367935,0.011,0.008,-0.98,0.228,0.035,-0.157
142,13029.796354265,0.01,0.006,-0.98,0.385,0.018,-0.192
143,13029.846357543,0.009,0.004,-0.979,0.368,0.018,-0.157
144,13029.896418711,0.012,0.007,-0.979,0.368,0.0,-0.157
145,13029.946405406,0.012,0.005,-0.979,0.42,0.07,-0.14
146,13029.996407441,0.011,0.008,-0.98,0.21,0.018,-0.105
147,13030.046499748,0.01,0.006,-0.98,0.368,-0.018,-0.105
148,13030.096421156,0.011,0.01,-0.981,0.333,0.105,-0.123
149,13030.146420701,0.013,0.003,-0.979,0.298,-0.035,-0.105
150,13030.19641476,0.01,0.007,-0.98,0.21,0.018,-0.07
151,13030.246558761,0.011,0.006,-0.979,0.403,-0.035,-0.175
152,13030.296396876,0.012,0.006,-0.98,0.403,0.052,-0.175
153,13030.346415531,0.01,0.006,-0.981,0.28,-0.035,-0.14
154,13030.39644762,0.01,0.008,-0.98,0.28,0.035,-0.21
155,13030.446420417,0.009,0.006,-0.98,0.403,0.0,-0.123
156,13030.496381568,0.011,0.008,-0.98,0.42,-0.087,-0.105
157,13030.546374805,0.013,0.007,-0.981,0.35,0.052,-0.087
158,13030.596318982,0.01,0.007,-0.978,0.245,-0.018,-0.105
159,13030.646371923,0.012,0.005,-0.981,0.262,0.07,-0.14
160,13030.696444148,0.012,0.006,-0.978,0.385,0.052,-0.262
161,13030.746417931,0.01,0.007,-0.978,0.42,0.087,-0.123
162,13030.79641521,0.01,0.006,-0.979,0.385,0.018,-0.175
163,13030.846557587,0.008,0.006,-0.979,0.385,0.0,-0.105
164,13030.89643049,0.013,0.01,-0.981,0.35,0.035,-0.14
165,13030.946378331,0.01,0.008,-0.981,0.262,0.105,-0.105
166,13030.996383045,0.009,0.005,-0.98,0.333,0.087,-0.123
167,13031.046379567,0.01,0.005,-0.98,0.28,0.0,-0.087
168,13031.096428141,0.01,0.007,-0.978,0.298,0.087,-0.14
169,13031.146384692,0.013,0.005,-0.979,0.333,0.0,-0.052
170,13031.196402008,0.013,0.007,-0.981,0.315,0.018,-0.07
171,13031.246415989,0.011,0.005,-0.98,0.368,0.07,-0.07
172,13031.296442098,0.013,0.008,-0.981,0.403,0.018,-0.157
173,13031.346445747,0.012,0.007,-0.98,0.35,0.035,-0.087
174,13031.396389872,0.011,0.005,-0.981,0.298,0.123,-0.175
175,13031.446466222,0.012,0.006,-0.981,0.28,-0.035,-0.105
176,13031.496421555,0.012,0.004,-0.98,0.368,0.105,-0.07
177,13031.546433764,0.012,0.008,-0.979,0.385,0.018,-0.175
178,13031.596503919,0.01,0.006,-0.979,0.333,0.087,-0.14
179,13031.646376956,0.011,0.005,-0.981,0.42,0.035,-0.105
180,13031.696376137,0.011,0.005,-0.979,0.35,0.035,-0.07
181,13031.746375277,0.013,0.005,-0.981,0.21,0.105,-0.018
182,13031.796394267,0.011,0.004,-0.977,0.28,0.07,-0.105
183,13031.846385963,0.01,0.004,-0.98,0.403,-0.018,-0.087
184,13031.896393027,0.011,0.007,-0.979,0.315,-0.052,-0.175
185,13031.946387519,0.013,0.007,-0.98,0.315,0.07,-0.28
186,13031.996361399,0.011,0.005,-0.98,0.385,0.123,-0.087
187,13032.046470571,0.009,0.007,-0.979,0.298,0.07,-0.018
188,13032.09638255,0.011,0.005,-0.981,0.315,0.0,-0.087
189,13032.146394428,0.012,0.007,-0.979,0.315,0.018,-0.14
190,13032.196389512,0.011,0.004,-0.98,0.298,0.052,-0.175
191,13032.246386676,0.009,0.008,-0.977,0.385,0.035,-0.14
192,13032.296385013,0.01,0.005,-0.979,0.403,0.018,-0.052
193,13032.346371006,0.012,0.007,-0.981,0.368,0.018,-0.105
194,13032.396388936,0.009,0.006,-0.98,0.298,0.018,-0.192
195,13032.446389606,0.011,0.007,-0.981,0.298,0.0,-0.14
196,13032.496432581,0.01,0.008,-0.98,0.228,0.052,-0.123
197,13032.546429519,0.011,0.006,-0.979,0.28,0.035,-0.14
198,13032.596435728,0.011,0.007,-0.979,0.333,0.035,-0.07
199,13032.646390366,0.01,0.005,-0.978,0.333,0.018,-0.175
200,13032.696520019,0.01,0.004,-0.979,0.403,0.07,-0.123
201,13032.746389175,0.011,0.006,-0.98,0.28,0.035,-0.105
202,13032.796389432,0.013,0.008,-0.978,0.368,0.105,-0.123
203,13032.846393925,0.013,0.007,-0.982,0.35,-0.07,-0.192
204,13032.896387257,0.011,0.007,-0.98,0.333,0.087,-0.123
205,13032.946448672,0.014,0.008,-0.979,0.35,0.052,-0.123
206,13032.996440907,0.01,0.006,-0.979,0.333,0.0,-0.105
207,13033.046451383,0.011,0.005,-0.979,0.403,0.018,-0.087
208,13033.096418571,0.011,0.008,-0.979,0.298,0.087,-0.052
209,13033.146391929,0.012,0.004,-0.98,0.315,0.035,-0.087
210,13033.196717799,0.01,0.007,-0.98,0.262,0.052,-0.105
211,13033.246479473,0.011,0.005,-0.978,0.385,0.105,-0.175
212,13033.296468985,0.012,0.004,-0.979,0.333,0.07,-0.157
213,13033.346535021,0.011,0.009,-0.979,0.368,0.0,-0.14
214,13033.396395587,0.008,0.008,-0.981,0.35,0.035,-0.14
215,13033.446402539,0.011,0.007,-0.98,0.28,0.018,-0.052
216,13033.496400511,0.01,0.006,-0.981,0.333,0.07,-0.192
217,13033.546389996,0.01,0.006,-0.98,0.437,0.052,-0.175
218,13033.59639039,0.011,0.007,-0.979,0.42,0.035,-0.052
219,13033.64640286,0.013,0.005,-0.978,0.298,0.105,-0.123
220,13033.696450289,0.01,0.006,-0.978,0.333,0.0,-0.105
221,13033.746473963,0.011,0.006,-0.981,0.437,0.07,-0.123
222,13033.796487545,0.008,0.007,-0.98,0.315,-0.018,-0.123
223,13033.846491034,0.01,0.005,-0.979,0.298,0.035,-0.052
224,13033.896430313,0.011,0.005,-0.979,0.262,0.087,-0.087
225,13033.946447071,0.011,0.006,-0.98,0.35,0.07,-0.14
226,13033.996520313,0.012,0.004,-0.978,0.403,0.018,-0.157
227,13034.04646508,0.01,0.005,-0.98,0.368,0.018,-0.192
228,13034.096443037,0.012,0.006,-0.98,0.333,0.0,-0.07
229,13034.146427445,0.01,0.006,-0.981,0.35,0.018,-0.123
230,13034.196448318,0.013,0.008,-0.979,0.298,0.105,-0.105
231,13034.246685277,0.009,0.007,-0.979,0.368,0.018,-0.14
232,13034.29639561,0.011,0.007,-0.977,0.315,0.018,-0.123
233,13034.34636729,0.011,0.007,-0.98,0.298,0.07,-0.018
234,13034.396407657,0.011,0.003,-0.979,0.403,0.018,-0.175
235,13034.446392748,0.011,0.007,-0.979,0.385,0.087,-0.175
236,13034.496472257,0.009,0.006,-0.98,0.21,0.052,-0.157
237,13034.546361836,0.01,0.005,-0.98,0.35,-0.035,-0.123
